;content;design
0;se aud foarte bine si sunt confortabile. atata tot ca trebuie sa ai grija la portiunea de fir de langa mufa, caci e mai sensibila.;2
1;acumulatorul la raporul calitate pret este foarte bun. raspunde descrierii facute, mai putin la timpu de incarcare care este destul de mare. recomand.;0
2;acceptabil, pt pretul asta;0
3;"m am chinui prima oara vreo 5 minute sa il bag in locasul brichetei, pana i am gasit ""punctul"" in care intra. sta destul de bine odara pus acolo, se scoate tot greu, dar mai greu intra. incarca fast charge, e micut si e ok. mai ales la 20 de lei. are un mic led albastru, un punct de lumina care te anunta ca e la incarcat. per total un produs bun.";0
4;bun☺☺☺☺☺☺☺;0
5;este ok, dar lipseste usb c si un strat aderent ca sa nu alunece telefonul pus la incarcat pe wireless.;1
6;pro: finisaje bune, se misca destul de rapid  contra: rezolutia poate sa deranjeze;2
7;initial am achizitionat o tableta vonino magnet w10 de care am fost super dezamagit de lag-ul pe care il avea aceasta tableta de la vonino. am facut retur tableta vonino si am ales tableta aceasta de la huawei care are aproximativ aceleasi specificatii tehnice cu exceptia procesorului. am dat in plus 100 de lei si sunt foarte multumit de noua achizitie. functioneaza impecabil si fara nici un lag. recomand.  cei care zic ca nu are slot de sim si 3g/4g, eu nu am vazut in specificatii tehnice ale tablete sa scrie despre acestea. intr-adevar exista acelasi model de tableta care are si suport gsm, dar costa dublu. exista acelasi model si cu 3gb ram si 32gb memorie interna. si tot huawei mediapad t3 10 se numeste. deci atentie mare la ce cumparati.;0
8;+ livrare rapida, calitate buna  - nu este 100% compatibila cu asus z380 knl ( decupajul pt buton on/off, buton volum si decupajul pt camera spate nu sunt tocmai perfecte), apesi greu pe volum + si - si buton in/off iar camera spate este acoperita foarte putin de husa. am vrut sa o dau retur dar sau complicat lucrurile cu, curierul si am renuntat. multumit doar 90%.;0
9;am cautat mai mult pana sa gasesc un ceas pentru ce am nevoie. toate modelele sunt pentru sport si masoara prea multe. xiaomi are cate putin din fiecare. am conectat foarte repede, nu se deconecteaza usor si notificarile vin imediat. ce am gasit ca si problema si nu stiu de unde este, nu afiseaza numele apelantului, dar cred ca este o problema de permisivitate si sper sa o rezolv.;0
10;un produs bun in raport pret calitate!;0
11;capacitatea e adevarata, daca temperatura nu e prea coborata. la -10c nu mai da (aproape) nimic.;0
12;"plusuri:  + magnet foarte puternic;  + prindere cauciucata de grila de ventilatie;  + punctul de rotatie ferm;  + accesorii pentru toate marimile de telefon/tableta.    minusuri:  - cauciucul care ia contact cu grila de ventilatie este prins de partea de plastic a suportului cu o banda adeziva care aluneca usor in timp;  - ca si solutie constructiva, greutatea telefonului in suport va trage in jos grila orizontala de ventilatie; aceasta grila ajunge intr-o pozitie relativ orizontala, caci nu coboara mai jos datorita corpului de plastic al suportului, care si el se atinge de grila.    p. s.: in general, placuta metalica ce s-ar lipi de telefon impiedica incarcarea wireless; eu am bagat-o intre husa de telefon si acesta (fara sa o lipesc), pentru un galaxy s8, in partea inferioara; nu am probleme cu incarcatul wireless.    ca o concluzie: recomand!";1
13;produsul este ok, bateria tine 2 zile.;0
14;produsul este foarte bun, recomand acest produs deoarece nu este atat de scump pe cat de pun este. dau cu o stea mai putin deoarece cablul de incarcare cu care a venit mi s-a stricat dupa 4 luni, dar nu stiu de ce, adica se conecteaza, se deconecteaza si tot asa..;0
15;e ok, incarca un pic cam greu, cablu de incarcare cam scurt...;0
16;- acumulator cumparat de 2 sapt la 90 de lei: am incarcat de 4-5 ori full un i6s   - este destul de greu pt o geanta mica  - aspect placut, lucios  - saculetul cu care vine este f util  - ledurile care indica cat de incarcat este acumulatorul sunt f utile  - la incarcat - l am lasat peste noapte si dimineata era full;2
17;exact pe gustul meu;0
18;foarte, foarte bun produsul, recomand tuturor care doresc un produs de calitate.;0
19;produs ok.;0
20;il am de aproximativ 6 luni si il port in principiu zilnic. in acest timp l-am tinut conectat la iphone 6s. desi ceasul este “limitat” cand este impreunat cu un iphone, tot pot spune ca sunt multumit de el si face tot ce asi fi asteptat de la un smartwatch. conexiunea bluetooth e in principiu buna, uneori se deconecteaza de la telefon, dar asta e o problema de compatibilitate si nu una a dispozitivului. display-ul este foarte luminos si frumoz, lizibil si in cea mai insorita zi. functiile s-health sunt destul de exacte (ex: pasi, km parcursi, ore de somn). bateria tine aproximativ o zi jumatate - doua cu always-on si bluethooth conectat constant, cateva convorbiri telefonice si putina joaca cu ceasul fara always-on si cu bluetooth ocazional poate tine 3-4 zile. am avut ocazii in care s-a blocat si a trebuit sa il resetez. am observat ca se intampla asta cand instalez multe aplicatii si fete. din acest motiv momentan am revenit la fetele din fabrica si putine aplicatii peste cele standard. daca tot veni vorba de aplicatii trebuie mentionat ca, magazinul tizen este destul de sarac, fiind putine aplicatii si fete de ceas si multe dintre cele existe sunt extrem de kitsch-oase. din punct de vedere estetic i-as acorda 10 stele. chiar si dupa cateva luni bune mi se pare ca arata grozav pe mana.;2
21;foarte bun, arata si bine;2
22;isi face treaba, radio functioneaza cu cablu conectat pt incarcare si fara card. in rest pate ok.;0
23;ceasul arata bine, este destul de solid, iar varianta de 46 (ce am eu) nu e atat de mare pe cat ma asteptam. dimensiunea zic eu ca e ok pentru oricine.  raspunde destul de repede atunci cand vrei sa vezi ora. in functie de setari... ecranul e inchis, iar cand misti mana sa te uiti la el se aprinde foarte repede.  sincronizarea cu telefonul e ok, iar conexiunea la internet de asemenea.  e placut si modul in care ticaie... cand se aprinde.  minus - sistemul de operare. nu sunt foarte multe aplicatii pe samsung market place, cum sunt pe google play.  alt minus, dar aici e legat de infrastructura din romania, versiunea disponibila nu are sim.;2
24;calitate - pret excelent;0
25;- se aude bine si nu distorsioneaza prea mult sunetul original nici atunci cand e volumul la maxim.  - acumulatorul se incarca rapid.  - se aude un bazait atunci cand o folosesti si o incarcati in acelasi timp.    per total e un bun.;0
26;le-am bagat la masina de spalat si merg la fel de bine... isi merita bani;0
27;e bun, deocamdata.;0
28;se aude bine si distanta de acoperire este ok  o mica problema ar fi ca nu se aseaza perfect pe urechi si trebuie sa o asezi mai bine ca sa stea ok.;0
29;il am de aprox. 1 luna, nu ma dezamagit pana acum, pare ca functioneaza exact ca in specificatii. bateria tine in functie de cat de intens il folosesti.;0
30;se potriveste perfect... fara probleme la montaj sau la reglatul lungimii bratarii... recomand;2
31;raport calitate pret ok, dar nu gasesc functia de ascultare fara sa sun copilul? trebuie instalat ceva in plus? in rest ok;0
32;aparatul este destul de precis:  - pt. hr l-am comparat cu datele oferite de un ceas suunto m5 cu centura de puls si au dat rezultate similare  - pt. tensiunea l-am comparat cu un tensiometru automat (de tipul celor pe care le poti cumpara din farmacie) si, la fel, rezultatele au fost similare    pro: precizia in masuratori hr si puls, e usurel, bateria tine vreo 4-5 zile, arata bine, alea-alea.    contra: mare (-) pentru ca functia principala pentru care am luat bratara (notificare pentru apeluri, watsup etc.) lasa de dorit in sensul ca ceasul se deconecteaza. chiar daca pe telefon, in aplicatie, iti apare ca e conectat, pe ceas apare conexiune intrerupta. asta din senin, fara sa ma indepartez de telefon etc.   am sa incerc sa vad daca pe alt telefon are aceleasi deconectari aiurea dupa care ma decid daca il dau inapoi sau il pastrez.;2
33;foarte convenabil calitate/pret. un cadou perfect;0
34;sunetul este foarte ok pentru dimensiunea boxei si nivelul este suficient pentru o camera normala (oricum range-ul pe bluetooth nu permite distantarea prea mult si in niciun caz deplasarea in alta camera), dar si pentru afara, la un gratar cu prietenii, in curte, fara sa deranjezi vecinii.  se gasesc usor si case-uri ieftine pentru protectie / transport.  ca minus: m-a dezamagit ca nu poti vedea nivelul bateriei nicicum, nici macar prin conexiunea bluetooth (android), acea iconita mica de status care apare chiar si la casti chinezesti cu bluetooth de 5 dolari.  doar clipeste un led cand ajunge pe low battery. in fine, pana la urma pot trai cu asta.. cand am ocazia si imi aduc aminte, o mai incarc cate putin, nu neaparat full.  e ok si pentru browsing sau video pe laptop sau tableta, mai ales ca daca ai doua bucati le poti sincroniza;0
35;portabil e cam mult spus... sau nu in buzunar.     vine incarcat cam 75 % se incarca la 100% in 2 ore. probabil de la 0 dureaza cam 6  7 ore  am reusit sa incarc 3 telefoane si o camera foto si mai aveam aprox 35 40 %;0
36;are momente cand se misca mai greut si memorie reala cam mica, mi-am luat un card de memorie pentru a suplimenta spatiul. dar pe youtube merge bine. e ok la banii astia!;0
37;noi am cumparat 2. una pentru barbat si una pt femeie.    am ales pentru design si pentru ca stie mai multe sporturi.  materialul este bun, dupa 2 saptamani nu au aparut zgarieturi.  pedometrul am testat cu o alta bratara si este ok.  masoara tensiuniea bine.  bataile inimii ok.    trebuie incarcat in fiecare 4 zile.  bratara cand in cand opreste pt 5-6 minute.  am folosit numai functia de alergare, mi lipseste ca nu arata km parcursi, arata numai cate minutele am alergat si cate pasi am factut.    aplicatia este foarte prost. trebuie repronit zilnic de 2-3 ori, pentru ca nu sincronizeaza.   am plimbat impreuna 9 km., is cele doua bratari au aratat distante diferite, una 9 km si cealalta 7, dar ca problema vine de la program.  ar trebui o aplicatie mai buna.....    mie lipseste functia antilost.     pentru acest pret este o bratara buna.;2
38;cand umbli la bass si il scazi, cresc inaltele:))  pe radio nu poti face karaoke:)   la banii astia merita aparatul!!!;0
39;am un iphone 6s si il pot incarca de 4 pe zi  il pui noaptea la incarcat si se incarca full  se zgarie foarte rapid..;1
40;un card decent, nu-l setati ca si cale de salvare la video, ca nu merge asa de repede, dar pt fotografii, fisiere e super.  nu mi-a facut figuri, si l-am folosit intensiv, dar stiu sa nu cer mai mult decat poate duce.  il recomand!;0
41;bratara este buna pentru pretul pe care il are. are o precizie destul de buna si tine incarcata mai mult de 20 de zile.   am prmit comada foarte repede doar ca ecranul este putin ciobit.;1
42;raport calitate-pret e ok.;0
43;o folosesc de o saptamana, mai bine zis o foloseste fiul meu de 3 ani. totul pare in regula. wi-fi cam lasa de dorit. ma asteptam la mai mult. in rest totul dupa specificatii. bateria in schimb vad ca duce bine, nu se incalzesre prea tare etc. se merita sa o iei la banii astia!;0
44;husa este de calitate;0
45;este ok.;0
46;am luat. o la oferta cu 50lei... aseara cand am deschis pachetul era 75% incarcata.... am incarcat telefonul meu samsung de 3 ori si am tinut lanterna toata noaptea aprinsa... deci pot spune ca de maxim 5 ori o sa. l incarc cu siguranta, recomand!!!;0
47;scriu acest comentariu doar pentru a aduce la cunostinta celor care urmeaza sa achizitioneza acest produs, faptul ca modulul radio nu functioneaza atunci cand boxa este la incarcat. modului fm functioneaza doar cu un cablu micro usb conectat in aceeasi intrare prin care se incarca.    in rest nu am argumente nici pro nici contra, un produs ok la un pret ok.;0
48;un produs ok, rezista cu brio la socurile pe care i le administreaza un copil de 1 an.  raza de actiune 4-5 m in casa.;2
49;am achizitionat de la acelasi furnizor si modelul cu scai. foarte rapida livrarea (a doua zi de dimineata cu comanda lansata dupa ora 12, daca nu ma insel). calitativ si productiv cureaua este decenta comparand-o cu cele originale, insa nu lasa de dorit avand in vedere si pretul.;2
50;cam mare difuzorul care intra in ureche.  in rest se aude bine. isi face treaba.;0
51;aceasta baterie este absolut perfecta pentru calatorii, festivaluri, etc, datorita capacitatii mari de incarcare. nu am apucat sa imi incarc telefonul (iphone 7) de mai mult de 2 ori, fara sa pun apoi bateria la incarcat. cu 2 incarcari ale telefonului, capcacitatea bateriei a ajuns la 75 %.  singurele dezavataje sunt dimensiunile destul de mari si faptul ca este cam grea, 300 gr, dar acestea sunt deja specificate in descriere.;1
52;este un suport practic si universal. il folosesc pentru un iphone 5s cu tot cu husa si este stabil in mers. foarte practic pentru facetime.;0
