;content;design;functionalitate;livrare_ambalaj;calitate_pret;satisfactie_generala
0;se aud foarte bine si sunt confortabile. atata tot ca trebuie sa ai grija la portiunea de fir de langa mufa, caci e mai sensibila.;1.0;1;0;0.0;0
1;acumulatorul la raporul calitate pret este foarte bun. raspunde descrierii facute, mai putin la timpu de incarcare care este destul de mare. recomand.;0.0;1;0;1.0;1
2;acceptabil, pt pretul asta;0.0;0;0;1.0;1
3;"m am chinui prima oara vreo 5 minute sa il bag in locasul brichetei, pana i am gasit ""punctul"" in care intra. sta destul de bine odata pus acolo, se scoate tot greu, dar mai greu intra. incarca fast charge, e micut si e ok. mai ales la 20 de lei. are un mic led albastru, un punct de lumina care te anunta ca e la incarcat. per total un produs bun.";1.0;1;0;0.0;1
4;bun???????;0.0;0;0;0.0;1
5;este ok, dar lipseste usb c si un strat aderent ca sa nu alunece telefonul pus la incarcat pe wireless.;1.0;0;0;0.0;1
6;pro: finisaje bune, se misca destul de rapid  contra: rezolutia poate sa deranjeze;1.0;1;0;0.0;0
7;initial am achizitionat o tableta vonino magnet w10 de care am fost super dezamagit de lag-ul pe care il avea aceasta tableta de la vonino. am facut retur tableta vonino si am ales tableta aceasta de la huawei care are aproximativ aceleasi specificatii tehnice cu exceptia procesorului. am dat in plus 100 de lei si sunt foarte multumit de noua achizitie. functioneaza impecabil si fara nici un lag. recomand.  cei care zic ca nu are slot de sim si 3g/4g, eu nu am vazut in specificatii tehnice ale tablete sa scrie despre acestea. intr-adevar exista acelasi model de tableta care are si suport gsm, dar costa dublu. exista acelasi model si cu 3gb ram si 32gb memorie interna. si tot huawei mediapad t3 10 se numeste. deci atentie mare la ce cumparati.;0.0;1;0;0.0;1
8;+ livrare rapida, calitate buna  - nu este 100% compatibila cu asus z380 knl ( decupajul pt buton on/off, buton volum si decupajul pt camera spate nu sunt tocmai perfecte), apesi greu pe volum + si - si buton in/off iar camera spate este acoperita foarte putin de husa. am vrut sa o dau retur dar sau complicat lucrurile cu, curierul si am renuntat. multumit doar 90%.;0.0;0;1;0.0;1
9;am cautat mai mult pana sa gasesc un ceas pentru ce am nevoie. toate modelele sunt pentru sport si masoara prea multe. xiaomi are cate putin din fiecare. am conectat foarte repede, nu se deconecteaza usor si notificarile vin imediat. ce am gasit ca si problema si nu stiu de unde este, nu afiseaza numele apelantului, dar cred ca este o problema de permisivitate si sper sa o rezolv.;0.0;1;0;0.0;0
10;un produs bun in raport pret calitate!;0.0;0;0;1.0;1
11;capacitatea e adevarata, daca temperatura nu e prea coborata. la -10c nu mai da (aproape) nimic.;0.0;1;0;0.0;0
12;plusuri:  + magnet foarte puternic  + prindere cauciucata de grila de ventilatie  + punctul de rotatie ferm  + accesorii pentru toate marimile de telefon/tableta.    minusuri:  - cauciucul care ia contact cu grila de ventilatie este prins de partea de plastic a suportului cu o banda adeziva care aluneca usor in timp  - ca si solutie constructiva, greutatea telefonului in suport va trage in jos grila orizontala de ventilatie aceasta grila ajunge intr-o pozitie relativ orizontala, caci nu coboara mai jos datorita corpului de plastic al suportului, care si el se atinge de grila.    p. s.: in general, placuta metalica ce s-ar lipi de telefon impiedica incarcarea wireless eu am bagat-o intre husa de telefon si acesta (fara sa o lipesc), pentru un galaxy s8, in partea inferioara nu am probleme cu incarcatul wireless.    ca o concluzie: recomand!;1.0;1;0;0.0;1
13;produsul este ok, bateria tine 2 zile.;0.0;0;0;0.0;1
14;produsul este foarte bun, recomand acest produs deoarece nu este atat de scump pe cat de bun este. dau cu o stea mai putin deoarece cablul de incarcare cu care a venit mi s-a stricat dupa 4 luni, dar nu stiu de ce, adica se conecteaza, se deconecteaza si tot asa..;1.0;0;0;1.0;1
15;e ok, incarca un pic cam greu, cablu de incarcare cam scurt...;1.0;1;0;0.0;1
16;- acumulator cumparat de 2 sapt la 90 de lei: am incarcat de 4-5 ori full un i6s   - este destul de greu pt o geanta mica  - aspect placut, lucios  - saculetul cu care vine este f util  - ledurile care indica cat de incarcat este acumulatorul sunt f utile  - la incarcat - l am lasat peste noapte si dimineata era full;1.0;1;0;0.0;0
17;exact pe gustul meu;0.0;0;0;0.0;1
18;foarte, foarte bun produsul, recomand tuturor care doresc un produs de calitate.;0.0;0;0;1.0;1
19;produs ok.;0.0;0;0;0.0;1
20;il am de aproximativ 6 luni si il port in principiu zilnic. in acest timp l-am tinut conectat la iphone 6s. desi ceasul este ?limitat? cand este impreunat cu un iphone, tot pot spune ca sunt multumit de el si face tot ce asi fi asteptat de la un smartwatch. conexiunea bluetooth e in principiu buna, uneori se deconecteaza de la telefon, dar asta e o problema de compatibilitate si nu una a dispozitivului. display-ul este foarte luminos si frumoz, lizibil si in cea mai insorita zi. functiile s-health sunt destul de exacte (ex: pasi, km parcursi, ore de somn). bateria tine aproximativ o zi jumatate - doua cu always-on si bluethooth conectat constant, cateva convorbiri telefonice si putina joaca cu ceasul fara always-on si cu bluetooth ocazional poate tine 3-4 zile. am avut ocazii in care s-a blocat si a trebuit sa il resetez. am observat ca se intampla asta cand instalez multe aplicatii si fete. din acest motiv momentan am revenit la fetele din fabrica si putine aplicatii peste cele standard. daca tot veni vorba de aplicatii trebuie mentionat ca, magazinul tizen este destul de sarac, fiind putine aplicatii si fete de ceas si multe dintre cele existe sunt extrem de kitsch-oase. din punct de vedere estetic i-as acorda 10 stele. chiar si dupa cateva luni bune mi se pare ca arata grozav pe mana.;1.0;1;0;0.0;1
21;foarte bun, arata si bine;1.0;0;0;0.0;1
22;isi face treaba, radio functioneaza cu cablu conectat pt incarcare si fara card. in rest pate ok.;0.0;1;0;0.0;1
