|content|livrare_ambalaj
0|nu am nimic de reprosat. sunt multumita de produs.|0
1|este ok, calitate pret corect.|0
2|am achizitionat varianta de 139cm si este peste asteptari. culori vibrante, sunet bun(nu extraordinar, insa este puternic si deloc deranjant). are o sumedenie de reglaje pe parte de audio dar mai ales de imagine, plus functie inteligenta care se adapteaza in functie de continut. cu ceva reduceri, cupoane si genius, luat cu 1320 lei.|0
3|calitate pret, este excelent.|0
4|merita toti banii!|0
5|excelent, multumit!|0
6|un tv ok. l-am luat la oferta. setari usoare, culori frumoase si merge si pe digi. recomand! multumesc emag!|0
7|pentru pretul ce il are chiar isi face treaba bine. sa vedem cat tine.|0
8|minunat, imaginea foarte buna, sonor bun, culori frumoase, sunt foarte multumita!|0
9|la banii astia nu gasesti nimic mai bun!|0
10|sunetul e slab. in rest totul e ok.|0
11|excelent, raspunde foarte repede la comenzi, se conecteaza foarte bine la internet, sunetul super!!!!|0
12|foarte bun pentru dormitor, configurare usoara, functioneaza impecabil!|0
13|foarte ok, culori placute.....deocamdata sunt foarte multumita.|0
14|calitate foarte buna a imaginii, raspunde foarte repede la comenzi. recomand!|0
15|excelent din toate puntele de vedere. am si un lg de 164cm din 2024 si in afara de imagine care e putin mai buna pe lg. acest tcl este incredibil de bun la 1100 de lei si 140 cm.|0
16|un tv super, android-ul functioneaza bine, totul ok|0
17|wow... intr-un cuvant super!cred ca iau numai tcl de acum inainte. culorile sunt superbe! sistemul e simplu. sunetul e bun.|0
18|un tv buna are culori frumoase si vii, deci multumita de achizitie si pretul destul de ok|0
19|cel mai bun raport calitate pret. nimic de reprosat! foarte fluid in meniu, fara lag.|0
20|culorile sunt perfecte, se misca foarte rapid, google merge foarte bine, nu are lag.este foarte bun, recomand|0
21|foarte multumit de televizor, este al doilea pe care il am in casa.|0
22|foarte multumit pana acum, singurul dezavantaj este ca ordoneaza alfabetic posturile tv, sau nu stiu eu sa le ordoneaz, si sunetul putin cam slab dar pe volum ridicat isi face f bn treaba. per total, f bun in raport calitate pret.|0
23|am citit si eu reviewuri inainte si este pe masura asteptarilor.|0
24|se aude bine, imaginea e ok|0
25|imagine clara, culori placute si sunet ok pentru dormitor. raport calitate-pret excelent.|0
26|se ridica la asteptarile mele|0
27|este un tv calitate pret ok, se misca bine pe android, se merita.|0
28|este un televizor smart foarte bun, elegant si totul merge perfect! va multumesc!|0
29|google tv se misca foarte bine, meniul este rapid si intuitiv, iar telecomanda cu microfon raspunde perfect la comenzi vocale. conectivitatea este stabila (wi-fi si bluetooth), aplicatiile ruleaza fara intreruperi, iar sunetul este surprinzator de bun pentru un tv subtire.design modern, rama ingusta, se potriveste frumos in orice living. produsul a venit foarte bine ambalat si s-a instalat rapid. in concluzie: raport calitate-pret excelent, o alegere foarte buna pentru cine vrea un smart tv 4k rapid si de calitate.|0
30|are aproape o luna de cand l-am cumparat si pot sa spun ca sunt foarte multumit de el. se misca destul de bine in meniuri, aproape ca un samsung, se vede foarte bine, la partea de sunet i-as acorda un 6 din 10, dar pentru parintii mei este ok. comparativ cu un allview cu android se misca de 10 ori mai bine.|0
31|"am luat tv-ul de bf. raport calitate-pret este extrem de bun, imagine clara, sunet bun. pe partea de google tv este foarte responsive, nu ""agata"" la comenzi. o alegere buna, de vazut cum se comporta in timp."|0
32|am ramas uimit de performantele acestuit televizor. calitatea sunetului este foarte buna, la fel si calitatea imaginii. este destul de usor, meniul intuitiv dar materialele din care este facut nu au finisaje premium|0
33|excelent raport calitate/pret! sunetul putea fi mai ok, insa compenseaza prin calitatea panelului led si imaginii.configurare facila, google tv se misca excelent, conexiune wifi excelenta.|0
34|esti foarte buna, calitatea este excelenta, functioneaza bine, are multe functii, conectivitate buna si raspunsuri imediate. vreau sa mentionez ca le-am luat cu 1.300 de lei si isi merita fiecare leut!!!|0
35|am cumparat produsul la pretul de 1210 lei.foarte placut surprins, in raport de diagonala sa si la pretul platit nu ma asteptam la lcd cu apucaturi de oled, dar nici nu te dezamageste.se misca foarte bine prin meniu, aplicatiile merg bine. sunetul mi se pare bun, in raport de alte televizoare de buget, voi incerca cu un extractor sa pun un sistem audio de pc cu jack la hdmi, sper sa-mi iasa, are port pentru earc. la aceasta diagonala nu puteam cere mai mult sunt foarte multumit de el.|0
36|meniul si aplicatiile (skyshowtime si netflix) se misca rezonabil, canalele se pot edita/sterge dupa scanare (puneti germania la tara si faceti setarile pt vodafone/upc - nu le are). backlight bleed decent! telecomanda e din aceea mare, nu am avut noroc de varianta noua fara numere. audio asa ni, dar nu aveam pretentii, pentru dormitor e ok.|0
37|destul de ok|0
38|claritate excelenta, de misca bine. foarte bun.|0
39|raport calitate pret foarte bun. singurul downside este luninozitatea cam slaba, in rest se misca rapid, are comanda vocala in romana de pe telecomanda, foarte fluid meniul, wifi foarte bun|0
40|raport calitate pret, se comporta decent pentru un tv din bugetul lui, facut cadou parintilor, multumiti ca au acces facil la netflix si youtube.|0
41|televizorul functioneaza decent, imagine clara, sunet bun. singul minus pe care-l are este ca are cateodata downframe-uri, se blocheaza din cand in cand, nu stiu daca e de moment si se asteapta o actualizare, sau am avut eu ghinion, nu este ceva ce m-ar face sa-i dau retur ca nu e asa sesizabil. recomand|0
42|o singura remarca! memoria nu este de 16 g asa cum este descris.este de 8gb deci date eronate in descriere.probabil mai sunt si altele dar inca nu le-am descoperit.|0
43|varianta de 139 cm. unghi de vizualizare prost, android 11, deja are lag ingrozitor si problema e ca nu mai primeste actualizari, deci peste 1 an e gata. nu merita sa cumparati asa ceva.|0
44|nu e un tv care sa te de-a pe spate, meniu greoi si incurcat(ex: programele pt adulti sunt codate si nici digi nu le poate debloca), zgomot taste telecomanda,|0
45|am primit tv exact asa cum scria pe site livrare in 0 zile cu deschidere colet, tv este in regula se vede foarte bine imaginea in special la filme pe prime sau hbo sau pe youtube, se conecteaza repede la internet, sunetul este ok nu merge sacadat se comuta rapid de la tv la google apps, la pornire maxim 15 de secunde ia pana se incarca, telecomanda prinde din orice pozitie, are si comenzi vocale, doar youtube kids nu merge nu stiu de ce, acum sa vedem cum se comporta in timp! update: dupa mai bine de 2 luni se comuteaza foarte greu sau deloc de pe tv pe youtube sau video trebuie sa ii dau repornire!|2
46|imagine foarte buna, dar in 4k merge doar la 30 hz, ceea ce deranjeaza la ochi. de asemenea, unghiul de vizualizare e cam mic, daca te deplasezi in lateral la mai mult de 45 grade se schimba nuantele culorilor. in rest e ok, la banii astia. trebuia sa iau ceva mai scump...|0
47|produsul nu se adreseaza pentru cinefili si pretenstiosi. iluminarea din spate nu este uniforma iar negrul este mai mult un gri. in rest functioneaza bine, este usor de configurat.|0
48|nu functioneaza aplicatiile.intru in hbo max, dupa cateva secunde, se inchide brusc, nu recomand!|0
49|daca cade curentul isi pierde memoria, trebuie din nou sa bagi contul de voio, youtube, din cind in cind trebuie setate si canalele, iese din digital si intra pe analogic, sonorul si imaginea sunt destul de ok dar nu se compara cu samsung, nici cu lg, nu recomand.|0
50|nu am fost multumit de calitate imaginii, luminozitate si culori slabe.nu decodeaza dolby si dts, multe fisiere video nu le citea.singurul punct pozitiv ar fi viteza cu care procesa comenzile.i-am dat retur, am luat varianta miniled, putin mai scumpa, tcl 50c6k, a carui imagine este superba, culori vibrante, luminozitate mare, negru profund si are codec-urile necesare pentru a citi formatele necesare de fisiere video.|0
